fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
51670,"Hopewell city, Virginia",Virginia,41490.0,347.0,8.36346107495782,8.36346107495782
51678,"Lexington city, Virginia",Virginia,9580.0,70.0,7.306889352818371,7.306889352818371
51680,"Lynchburg city, Virginia",Virginia,125320.0,990.0,7.8997765719757425,7.8997765719757425
51683,"Manassas city, Virginia",Virginia,82110.0,583.0,7.100231396906588,7.100231396906588
51685,"Manassas Park city, Virginia",Virginia,30000.0,209.0,6.966666666666668,6.966666666666668
51690,"Martinsville city, Virginia",Virginia,24190.0,218.0,9.011988424968996,9.011988424968996
51700,"Newport News city, Virginia",Virginia,343550.0,2676.0,7.789259205355843,7.789259205355843
51710,"Norfolk city, Virginia",Virginia,416390.0,3417.0,8.206248949302339,8.206248949302339
51720,"Norton city, Virginia",Virginia,6850.0,54.0,7.883211678832117,7.883211678832117
51730,"Petersburg city, Virginia",Virginia,64980.0,560.0,8.618036318867343,8.618036318867343
51735,"Poquoson city, Virginia",Virginia,23870.0,166.0,6.954335986594051,6.954335986594051
51740,"Portsmouth city, Virginia",Virginia,182610.0,1479.0,8.099227862658124,8.099227862658124
51750,"Radford city, Virginia",Virginia,20860.0,149.0,7.142857142857142,7.142857142857142
51760,"Richmond city, Virginia",Virginia,396550.0,3217.0,8.112470054217628,8.112470054217628
51770,"Roanoke city, Virginia",Virginia,186420.0,1488.0,7.981976182813002,7.981976182813002
51775,"Salem city, Virginia",Virginia,47070.0,334.0,7.0958147439983,7.0958147439983
51790,"Staunton city, Virginia",Virginia,46470.0,341.0,7.338067570475576,7.338067570475576
